num_obs	res_prop	nmcc	species	data	scale	drug_or_drug_class	drug_level	file_name	model_colors	model_shapes	shuffled
455	0.23	0.76	Cje	counts	proteins	NAL	drug	Cje_drug_NAL_proteins_counts	skyblue	21	FALSE
455	0.23	0.8	Cje	struct	struct	NAL	drug	Cje_drug_NAL_struct_binary	NA	NA	FALSE
455	0.03	0.79	Cje	binary	domains	TEL	drug	Cje_drug_TEL_domains_binary	#66a61e	22	FALSE
455	0.03	0.79	Cje	counts	domains	TEL	drug	Cje_drug_TEL_domains_counts	#66a61e	21	FALSE
455	0.03	NA	Cje	binary	genes	TEL	drug	Cje_drug_TEL_genes_binary	#e6ab02	22	FALSE
455	0.03	NA	Cje	counts	genes	TEL	drug	Cje_drug_TEL_genes_counts	#e6ab02	21	FALSE
455	0.03	0.91	Cje	binary	proteins	TEL	drug	Cje_drug_TEL_proteins_binary	skyblue	22	FALSE
455	0.03	NA	Cje	counts	proteins	TEL	drug	Cje_drug_TEL_proteins_counts	skyblue	21	FALSE
455	0.03	NA	Cje	struct	struct	TEL	drug	Cje_drug_TEL_struct_binary	NA	NA	FALSE
462	0.71	0.96	Cje	binary	domains	TET	drug	Cje_drug_TET_domains_binary	#66a61e	22	FALSE
462	0.71	1	Cje	counts	domains	TET	drug	Cje_drug_TET_domains_counts	#66a61e	21	FALSE
462	0.71	1	Cje	binary	genes	TET	drug	Cje_drug_TET_genes_binary	#e6ab02	22	FALSE
462	0.71	1	Cje	counts	genes	TET	drug	Cje_drug_TET_genes_counts	#e6ab02	21	FALSE
462	0.71	1	Cje	binary	proteins	TET	drug	Cje_drug_TET_proteins_binary	skyblue	22	FALSE
462	0.71	1	Cje	counts	proteins	TET	drug	Cje_drug_TET_proteins_counts	skyblue	21	FALSE
462	0.71	0.98	Cje	struct	struct	TET	drug	Cje_drug_TET_struct_binary	NA	NA	FALSE
